"sample_id","group"
"TB-rep5","Active"
"TB-rep4","Active"
"TB-rep3","Active"
"TB-rep2","Active"
"TB-rep1","Active"
"NC-rep5","Latent"
"NC-rep4","Latent"
"NC-rep3","Latent"
"NC-rep2","Latent"
"NC-rep1","Latent"
"LTBI-rep5","Healthy"
"LTBI-rep4","Healthy"
"LTBI-rep3","Healthy"
"LTBI-rep2","Healthy"
"LTBI-rep1","Healthy"
